state_id,district_id_2001,district_id_shp2001,Households worked (lakhs),Percent rural households worked,Person-days generated (lakhs),Person-days per household worked,Person-days per rural household,Percent SC person-days,Percent ST person-days,Percent female person-days,Average wage
8,11,8.11E+14,0.285,7.609418,6.265,21.92659,1.667272,25,22,73,121.365
8,12,8.12E+14,0.59,11.61868,12.33,20.89831,2.428107,22,7,82,116.61
8,13,8.13E+14,0.28,8.11218,8.48,30.28571,2.456831,36,4,72,129.01
8,14,8.14E+14,1.77,37.12747,60.44,34.14689,12.67788,29,1,71,110.42
8,15,8.15E+14,1.12,27.03858,32.93,29.40179,7.949824,21,4,76,98.13
8,16,8.16E+14,0.32,31.86394,12.83,40.09375,12.77545,18,6,58,115.98
8,17,8.17E+14,2.33,55.60992,90.05,38.64807,21.49216,19,8,60,117.88
8,18,8.18E+14,0.73,24.49056,29.82,40.84931,10.00423,26,12,79,99.38
8,19,8.19E+14,0.35,21.97595,11.51,32.88572,7.226949,22,35,85,99.36
8,20,8.2E+14,0.65,19.72626,19.48,29.96923,5.911808,21,11,82,93.66
8,21,8.21E+14,1.71,52.23392,55.395,31.46579,17.26445,17.5,6.5,79,102.965
8,22,8.22E+14,0.38,17.91388,10.15,26.71053,4.784892,20,22,78,100.45
8,23,8.23E+14,0.23,12.98335,5.09,22.13044,2.873271,26,24,69,95.56
8,24,8.24E+14,1.38,35.0196,36.78,26.65217,9.333486,18,10,80,96.62
8,25,8.25E+14,1.076667,30.45159,32.11333,31.28456,9.569645,11.33333,32.33333,76.66666,100.62
8,26,8.26E+14,0.91,31.43063,27.72,31.28906,10.04741,4.5,77.5,64.5,98.41
8,27,8.27E+14,2.24,85.14682,105.52,47.10714,40.11023,3,76,68,96.16
8,28,8.28E+14,1.535,55.24113,64.885,39.25305,22.52069,5,82.5,60.5,98.51
8,29,8.29E+14,0.635,31.23043,19.8,31.15811,9.959719,13.5,50.5,67.5,101.16
8,30,8.3E+14,0.63,41.6251,21.69,34.42857,14.33093,28,15,64,111.57
8,31,8.31E+14,0.585,34.90985,19.62,33.46429,11.74709,25.5,23.5,62.5,106.98
8,32,8.32E+14,0.58,24.4003,14.75,25.43104,6.205248,24,14,61,104.52
9,1,9.01E+14,0.36,8.81925,4.74,13.16667,1.161201,49,0,25,141.64
9,2,9.02E+14,0.2,4.203897,5.5,27.5,1.156072,29,0,16,141.86
9,3,9.03E+14,0.88,18.37172,13.79,15.67045,2.878932,43,0,23,140.44
9,4,9.04E+14,0.4,7.651651,9.09,22.725,1.738838,15,0,8,141.69
9,5,9.05E+14,0.45,15.48973,9.16,20.35556,3.153021,16,0,7,141.98
9,6,9.06E+14,0.53,22.51324,10.48,19.77358,4.451675,32,0,16,141.04
9,7,9.07E+14,0.06,2.261083,1.48,22.44445,0.5542276,31,0.5,28.5,137.615
9,8,9.08E+14,0.06,3.647549,1.54,25.66667,0.9362043,19,0,18,142.15
9,9,9.09E+14,0.03,1.209434,0.54,18,0.2176981,10,1,39,133.33
9,10,9.1E+14,0.145,3.957058,3.02,17.89815,0.78198,31,0,22,138.285
9,11,9.11E+14,0.27,6.127062,5.75,21.2963,1.304837,30,0,17,141.67
9,12,9.12E+14,0.52,12.77534,11.1,21.34616,2.727045,17,0,19,142.39
9,13,9.13E+14,0.28,13.67007,5.53,19.75,2.69984,26,0,8,141.79
9,14,9.14E+14,0.26,8.877325,7.08,27.23077,2.417364,43,0,32,140.65
