state_id,district_id_2001,district_id_shp2001,Households worked (lakhs),Percent rural households worked,Person-days generated (lakhs),Person-days per household worked,Person-days per rural household,Percent SC person-days,Percent ST person-days,Percent female person-days,Average wage
8,11,811000000000000,0.77,21.94282,27.07,35.22603,7.781075,25,19,72.5,109.19
8,12,812000000000000,1.47,28.94823,53.77,36.57823,10.58875,18,7,82,98.05
8,13,813000000000000,0.63,18.25241,35.09,55.69841,10.1663,32,4,73,117.33
8,14,814000000000000,2.41,50.55209,149.34,61.9668,31.32551,28,1,72,105.01
8,15,815000000000000,2.17,52.38724,115.08,53.03226,27.78214,19,3,76,91.78
8,16,816000000000000,0.61,60.74064,42.3,69.34426,42.12015,17,6,61,100.49
8,17,817000000000000,3.17,75.65813,203.08,64.06309,48.46894,19,7,61,107.89
8,18,818000000000000,0.98,32.87774,57.61,58.78571,19.32742,24,12,78,94.61
8,19,819000000000000,0.48,30.13845,22.8,47.5,14.31576,20,40,84,95.31
8,20,820000000000000,1.25,37.93512,64.8,51.84,19.66557,21,11,83,90.68
8,21,821000000000000,2.395,71.09018,131.115,54.77047,39.33567,17,7,78.5,94.33501
8,22,822000000000000,0.88,41.48478,29.62,33.65909,13.9634,21,13,77,92.54
8,23,823000000000000,0.62,34.99859,23.94,38.6129,13.51397,22,27,69,89.18
8,24,824000000000000,2.41,61.15742,122.31,50.75103,31.03803,18,11,78,91.01
8,25,825000000000000,1.796667,48.1792,92.00333,52.25927,25.04061,11.66667,33.33333,76.66666,93.65667
8,26,826000000000000,1.475,45.88868,73.325,49.61858,22.76462,4,78.5,65.5,95.22
8,27,827000000000000,2.37,90.08837,165.76,69.94093,63.00864,3,76,71,90.99
8,28,828000000000000,1.67,61.58289,96.47,54.88533,34.53024,4,84.5,62.5,95.25
8,29,829000000000000,0.87,41.74953,41.895,48.26149,20.22383,12.5,53,67,99.52499
8,30,830000000000000,0.73,48.23226,36.58,50.10959,24.16899,28,14,67,106.4
8,31,831000000000000,0.795,46.56739,40.07,50.38038,23.45632,24.5,22,65,100.525
8,32,832000000000000,1.14,47.95921,49.22,43.17544,20.7066,20,14,62,98.6
9,1,901000000000000,0.55,13.47385,11,20,2.694771,49,0,25,124.9
9,2,902000000000000,0.18,3.783508,4.98,27.66667,1.04677,31,0,13,124.95
9,3,903000000000000,1.11,23.17342,23.31,21,4.866419,43,0,17,124.46
9,4,904000000000000,0.55,10.52102,15.95,29,3.051096,16,0,6,124.08
9,5,905000000000000,0.55,18.9319,12.65,23,4.354336,18,0,5,124.75
9,6,906000000000000,0.67,28.46014,16.68,24.89552,7.0853,32,0,13,124.99
9,7,907000000000000,0.055,2.059511,1.54,27.61111,0.5763125,33,0,25,124.81
9,8,908000000000000,0.09,5.471324,2.45,27.22222,1.489416,23,0,18,124.99
9,9,909000000000000,0.02,0.806289,0.54,27,0.2176981,14,0,36,124.74
9,10,910000000000000,0.165,4.077615,4.03,19.85938,0.9645156,32.5,0,18,124.945
9,11,911000000000000,0.32,7.261703,7.91,24.71875,1.795002,29,0,12,124.89
9,12,912000000000000,0.7,17.19758,18.41,26.3,4.522964,11,0,13,125.22
9,13,913000000000000,0.31,15.13472,5.96,19.22581,2.909773,25,0,6,124.93
9,14,914000000000000,0.35,11.95025,10.07,28.77143,3.438257,44,0,30,124.6
9,15,915000000000000,0.3,8.06905,8.9,29.66666,2.393818,33,1,16,124.72
9,16,916000000000000,0.29,9.127342,8.66,29.86905,2.728392,32,0.5,13,124.645
9,17,917000000000000,0.3833333,16.95764,11.83667,30.87355,5.176742,31,0,8.666667,124.7133
9,18,918000000000000,0.58,22.01113,16.24,28,6.163117,31,0,11,124.97
9,19,919000000000000,0.7,13.84792,19.09,27.27143,3.776526,23,0,5,124.95
9,20,920000000000000,0.99,20.58045,19.91,20.11111,4.138958,20,0,3,124.77
9,21,921000000000000,0.99,33.10749,17.25,17.42424,5.768729,7,0,4,124.99
9,22,922000000000000,1.02,28.90503,18.695,18.3026,5.253458,18,0,3,124.73
9,23,923000000000000,1.3,19.65988,30.65,23.57692,4.635196,41,2,7,124.37
9,24,924000000000000,1.5,20.98915,40.48,26.98667,5.664271,45,0,11,124.89
9,25,925000000000000,1.33,20.82593,43.07,32.38346,6.744156,39,0,8,123.84
9,26,926000000000000,1.08,21.99118,32.49,30.08333,6.61568,39,0,14,124.34
9,27,927000000000000,0.52,18.36204,15.33,29.48077,5.41327,71,0,16,124.58
9,28,928000000000000,1.12,19.79582,29.43,26.27679,5.201705,37,0,23,123.72
9,29,929000000000000,0.37,15.28174,11.94,32.27027,4.931459,17,0,2,124.51
9,30,930000000000000,0.47,20.1073,13.73,29.21276,5.873897,32,0,1,124.67
9,31,931000000000000,0.35,16.38976,10.61,30.31429,4.968438,46,0,7,124.49
9,32,932000000000000,0.51,24.73759,14.97,29.35294,7.261209,51,1,8,124.8
9,33,933000000000000,0.6,20.0781,17.12,28.53333,5.728952,41,1,12,125.03
9,34,934000000000000,0.62,21.13329,18.52,29.87097,6.312718,47,2,11,123.41
9,35,935000000000000,0.82,37.86304,28.7,35,13.25207,29,1,27,124.55
9,36,936000000000000,0.62,28.72458,25.33,40.85484,11.73538,37,1,38,124.84
9,37,937000000000000,0.58,30.59992,17.69,30.5,9.332974,23,9,32,123.77
9,38,938000000000000,0.425,28.52769,14.045,33.52121,9.490835,26.5,0,35,124.305
9,39,939000000000000,0.3,24.06199,10.54,35.13333,8.453777,27,0,35,123.95
9,40,940000000000000,0.6,29.04058,22.195,36.69003,10.62676,42,0,38,124.22
9,41,941000000000000,0.47,31.06863,16.59,35.29787,10.96657,57,0,39,124.34
9,42,942000000000000,0.73,17.60827,22.61,30.9726,5.453739,37,0,23,124.45
9,43,943000000000000,0.79,15.63957,26.14,33.08861,5.174916,32,0,25,124.26
9,44,944000000000000,0.75,16.18953,21.8,28.36309,4.559727,59.5,0.5,29,123.915
9,45,945000000000000,1.04,14.42419,31.39,30.18269,4.353609,55,1,27,123.86
9,46,946000000000000,1.54,29.37502,33.57,21.7987,6.403372,30,0,16,124.32
9,47,947000000000000,0.76,20.78144,22.72,29.89474,6.212555,41,0,24,124.2
9,48,948000000000000,0.67,20.61316,17.43,26.01493,5.3625,50,0,23,123.67
9,49,949000000000000,0.62,10.50054,19.77,31.8871,3.348316,32,1,19,123.77
9,50,950000000000000,0.89,15.95288,25.77,28.95506,4.619165,26,1,16,124.04
9,51,951000000000000,0.685,21.13931,18.41,25.98795,5.339786,28.5,1,15.5,124.47
9,52,952000000000000,0.67,22.45549,20.97,31.29851,7.028234,19,1,16,124.01
9,53,953000000000000,0.74,14.67445,24.23,32.74324,4.804889,25,0,15,124.94
9,54,954000000000000,0.9,25.31923,30.43,33.81111,8.560714,23,0,32,124.99
9,55,955000000000000,1.04,28.83786,32.76,31.5,9.083926,32,0,25,124.06
9,56,956000000000000,0.77,32.36368,19.31,25.07792,8.116139,25,0,27,124.82
9,57,957000000000000,1.11,27.42163,23.82,21.45946,5.884532,22,0,25,123.95
9,58,958000000000000,1.12,20.18022,37.84,33.78571,6.81803,27,0,26,122.89
9,59,959000000000000,0.8200001,17.04909,27.985,34.28366,5.835512,22.5,0.5,20.5,123.56
9,60,960000000000000,0.67,15.92773,23.54,35.13433,5.596101,10,1,19,123.57
9,61,961000000000000,1.06,17.33193,32.13,30.31132,5.253537,41,0,22,123.33
